length	ct_index	w_count	hard0	hard30	hard50	all_count
113	8	87.0031	6	6	5	2859
113	9	123.8375	4	4	3	2859
113	10	74.7363	3	3	2	2859
114	1	245.4582	31	19	9	2501
114	2	128.6574	27	11	11	2501
114	3	835.8137	1194	948	539	2501
114	4	45.7007	3	3	3	2501
114	5	124.2005	6	6	6	2501
114	6	252.6057	11	9	7	2501
114	7	615.3807	1217	818	101	2501
114	8	80.1295	7	7	7	2501
114	9	110.0300	4	4	3	2501
114	10	63.0230	1	1	1	2501
115	1	229.1961	27	16	12	2318
115	2	110.2494	18	9	7	2318
115	3	771.4534	1081	872	488	2318
115	4	41.9417	1	1	0	2318
115	5	121.2199	12	10	7	2318
115	6	237.5186	18	17	8	2318
115	7	575.1142	1148	789	82	2318
115	8	72.6491	8	8	5	2318
115	9	100.5545	5	4	3	2318
115	10	58.1027	0	0	0	2318
116	1	215.0688	13	7	3	2247
116	2	112.8527	22	8	5	2247
116	3	758.5939	1051	850	495	2247
116	4	39.8079	2	2	2	2247
116	5	115.8712	10	10	7	2247
116	6	230.9930	16	16	11	2247
116	7	547.7147	1124	726	93	2247
116	8	67.6795	4	4	3	2247
116	9	99.4335	3	3	3	2247
116	10	58.9846	2	2	2	2247
117	1	242.9765	26	15	9	2411
117	2	116.6239	17	11	5	2411
117	3	810.5271	1152	914	512	2411
117	4	41.4288	1	1	1	2411
117	5	121.5743	8	8	5	2411
117	6	246.1841	15	12	10	2411
117	7	587.1613	1175	761	92	2411
117	8	73.9141	5	5	3	2411
117	9	106.3859	9	6	4	2411
117	10	64.2236	3	3	3	2411
118	1	256.1625	21	12	10	2602
118	2	125.5713	23	9	6	2602
118	3	877.9891	1227	990	578	2602
118	4	43.8589	1	1	1	2602
118	5	135.5955	10	10	9	2602
118	6	269.5549	23	15	11	2602
118	7	631.1480	1284	846	88	2602
118	8	77.4532	3	3	3	2602
118	9	115.5748	9	9	7	2602
118	10	69.0912	1	1	1	2602
119	1	263.8216	19	8	5	2730
119	2	138.8136	30	18	13	2730
119	3	900.4794	1269	1036	547	2730
119	4	48.9042	1	1	1	2730
119	5	140.1109	8	8	6	2730
119	6	276.3992	17	13	7	2730
119	7	687.1442	1372	937	114	2730
119	8	81.3455	4	4	2	2730
119	9	120.9826	6	6	6	2730
119	10	71.9984	4	4	2	2730
120	1	325.9068	40	19	8	3298
120	2	167.0920	34	21	17	3298
120	3	1098.9698	1556	1211	686	3298
120	4	60.2842	4	4	3	3298
120	5	174.1745	16	15	13	3298
120	6	335.8590	32	22	15	3298
120	7	801.3240	1598	1074	134	3298
120	8	101.9998	9	9	8	3298
120	9	147.2509	8	8	3	3298
120	10	85.1395	1	1	1	3298
121	1	399.2161	40	19	10	4060
121	2	211.8637	45	28	15	4060
121	3	1340.2373	1898	1498	853	4060
121	4	73.3523	5	5	5	4060
121	5	206.4388	8	8	6	4060
121	6	417.3222	19	13	7	4060
121	7	999.9500	2029	1326	149	4060
121	8	123.3312	9	9	7	4060
121	9	181.0383	5	4	2	4060
121	10	107.2507	2	2	2	4060
122	1	501.0082	39	25	15	5060
122	2	258.8502	50	22	14	5060
122	3	1645.5201	2403	1880	982	5060
122	4	90.5918	2	2	2	5060
122	5	255.1079	8	7	5	5060
122	6	525.8663	35	29	19	5060
122	7	1265.1612	2488	1616	211	5060
122	8	154.6712	12	11	10	5060
122	9	225.6088	14	11	8	5060
122	10	137.6145	9	9	6	5060
123	1	562.5629	56	26	13	5706
123	2	296.0925	62	30	23	5706
123	3	1875.5564	2690	2127	1155	5706
123	4	109.7039	9	9	9	5706
123	5	298.3256	21	20	14	5706
123	6	591.4427	44	34	23	5706
123	7	1393.6814	2792	1807	201	5706
123	8	174.5161	13	13	10	5706
123	9	252.1354	13	11	8	5706
123	10	151.9830	6	6	4	5706
124	1	529.8231	45	22	13	5355
124	2	272.5827	57	28	20	5355
124	3	1750.2244	2481	1939	1068	5355
124	4	94.8640	3	3	2	5355
124	5	276.4097	19	19	11	5355
124	6	554.7476	34	24	13	5355
124	7	1336.2683	2698	1793	206	5355
124	8	161.2323	5	5	4	5355
124	9	238.3510	9	9	6	5355
124	10	140.4956	4	2	1	5355
125	1	417.5625	33	20	13	4279
125	2	219.7664	44	26	21	4279
125	3	1411.1248	1977	1569	895	4279
125	4	76.5034	4	4	3	4279
125	5	216.3993	11	11	8	4279
125	6	438.1498	37	29	18	4279
125	7	1064.6475	2147	1401	176	4279
125	8	131.8695	9	9	6	4279
125	9	190.1984	13	11	9	4279
125	10	112.7780	4	4	4	4279
126	1	366.6982	43	26	15	3651
126	2	179.1502	23	12	11	3651
126	3	1201.9882	1688	1332	753	3651
126	4	62.0232	0	0	0	3651
126	5	187.0490	10	9	8	3651
126	6	379.4609	27	26	20	3651
126	7	910.0110	1838	1182	151	3651
126	8	109.4699	4	4	3	3651
126	9	160.4355	13	9	6	3651
126	10	94.7141	5	5	4	3651
127	1	350.5675	27	17	8	3574
127	2	172.9152	33	18	14	3574
127	3	1206.3855	1718	1372	796	3574
127	4	66.0480	6	6	5	3574
127	5	181.9596	10	10	7	3574
127	6	364.0293	24	19	9	3574
127	7	874.0323	1731	1156	138	3574
127	8	108.0090	7	7	5	3574
127	9	154.8465	9	9	5	3574
127	10	95.2074	9	9	7	3574
128	1	379.6013	48	28	14	3784
128	2	186.3923	39	25	17	3784
128	3	1236.5754	1746	1381	773	3784
128	4	69.4158	4	4	3	3784
128	5	191.5808	11	10	6	3784
128	6	390.3190	25	22	13	3784
128	7	944.6642	1891	1301	166	3784
