length	ct_index	w_count	hard0	hard30	hard50	all_count
100	10	113.9043	13	10	10	2901
101	1	346.9347	45	19	9	3477
101	2	126.2901	8	8	6	3477
101	3	1363.6122	2121	1794	1046	3477
101	4	72.6900	4	4	4	3477
101	5	154.6058	8	6	2	3477
101	6	292.5566	16	11	7	3477
101	7	670.3513	1226	842	50	3477
101	8	111.1722	5	4	4	3477
101	9	204.6715	36	15	7	3477
101	10	134.1161	8	3	3	3477
102	1	345.1081	36	13	9	3536
102	2	131.0500	10	7	7	3536
102	3	1368.9456	2171	1808	1009	3536
102	4	76.2023	4	4	4	3536
102	5	162.2248	13	12	9	3536
102	6	291.6434	14	10	3	3536
102	7	691.6848	1236	888	72	3536
102	8	113.3248	7	7	5	3536
102	9	212.6272	33	20	9	3536
102	10	143.1888	12	10	10	3536
103	1	371.7616	51	28	16	3646
103	2	137.6129	12	8	8	3646
103	3	1405.4537	2175	1784	1061	3646
103	4	76.9993	3	3	2	3646
103	5	164.0339	5	5	3	3646
103	6	311.7747	21	16	7	3646
103	7	708.8203	1314	893	57	3646
103	8	118.0053	9	8	7	3646
103	9	207.3541	40	17	5	3646
103	10	144.1845	16	14	10	3646
104	1	352.2405	45	26	11	3502
104	2	129.9117	7	6	6	3502
104	3	1356.9808	2089	1740	1005	3502
104	4	72.2228	4	4	4	3502
104	5	154.0326	5	5	3	3502
104	6	299.6347	18	15	5	3502
104	7	686.7416	1287	867	62	3502
104	8	110.1088	4	4	4	3502
104	9	204.8306	35	15	7	3502
104	10	135.2960	8	4	3	3502
105	1	326.4393	44	25	12	3265
105	2	117.0281	8	6	6	3265
105	3	1254.8641	1940	1621	927	3265
105	4	66.6715	2	2	1	3265
105	5	148.9225	9	7	6	3265
105	6	286.4201	21	17	13	3265
105	7	658.1181	1202	864	67	3265
105	8	103.6376	5	5	3	3265
105	9	179.9375	27	11	7	3265
105	10	122.9607	7	5	4	3265
106	1	305.2034	38	18	7	3089
106	2	117.4419	14	10	6	3089
106	3	1216.1812	1915	1571	916	3089
106	4	62.5999	2	2	1	3089
106	5	134.6244	2	1	1	3089
106	6	260.5754	13	11	6	3089
106	7	594.2881	1059	745	54	3089
